"api.decimalLatitude","api.decimalLongitude","Value.for.Plot.ID","data_type"
"40.043059","-105.581501","NIWO_004","carabid"
"40.054475","-105.567875","NIWO_008","carabid"
"40.04106","-105.547043","NIWO_002","carabid"
"40.037194","-105.568794","NIWO_010","carabid"
"40.043662","-105.569891","NIWO_005","carabid"
"40.051247","-105.565041","NIWO_003","carabid"
"40.037739","-105.562156","NIWO_007","carabid"
"40.045049","-105.560411","NIWO_009","carabid"
"40.042344","-105.558975","NIWO_001","carabid"
"40.055052","-105.561552","NIWO_006","carabid"
"40.059545","-105.583048","NIWO_013","carabid"
"40.054365","-105.585822","NIWO_055","woody_veg"
"40.055185","-105.585116","NIWO_052","woody_veg"
"40.052491","-105.585443","NIWO_060","woody_veg"
"40.053301","-105.586507","NIWO_054","woody_veg"
"40.05032","-105.586479","NIWO_066","woody_veg"
"40.053571","-105.584402","NIWO_053","woody_veg"
"40.050589","-105.587175","NIWO_068","woody_veg"
"40.051404","-105.587551","NIWO_065","woody_veg"
"40.053574","-105.585102","NIWO_048","woody_veg"
"40.05114","-105.585787","NIWO_062","woody_veg"
"40.050042","-105.58751","NIWO_069","woody_veg"
"40.050874","-105.585072","NIWO_049","woody_veg"
"40.04979","-105.585046","NIWO_067","woody_veg"
"40.050338","-105.584011","NIWO_050","woody_veg"
"40.05465","-105.586515","NIWO_043","woody_veg"
"40.051697","-105.582976","NIWO_044","woody_veg"
"40.054657","-105.584399","NIWO_047","woody_veg"
"40.047082","-105.585059","NIWO_057","woody_veg"
"40.046551","-105.584709","NIWO_040","woody_veg"
"40.051697","-105.583681","NIWO_056","woody_veg"
"40.048719","-105.587181","NIWO_058","woody_veg"
"40.04845","-105.584355","NIWO_042","woody_veg"
"40.047615","-105.586103","NIWO_061","woody_veg"
"40.04737","-105.583997","NIWO_064","woody_veg"
"40.048439","-105.585417","NIWO_051","woody_veg"
"40.0468","-105.586451","NIWO_045","woody_veg"
"40.048158","-105.586127","NIWO_046","woody_veg"
"40.04898","-105.585058","NIWO_063","woody_veg"
"40.050349","-105.582965","NIWO_041","woody_veg"
"40.048717","-105.583295","NIWO_059","woody_veg"
"40.04106","-105.547043","NIWO_002","woody_veg"
"40.056627","-105.569307","NIWO_023","woody_veg"
"40.059545","-105.583048","NIWO_013","woody_veg"
"40.055052","-105.561552","NIWO_006","woody_veg"
"40.057098","-105.58477","NIWO_024","woody_veg"
"40.051247","-105.565041","NIWO_003","woody_veg"
"40.052498","-105.584022","NIWO_018","woody_veg"
"40.037739","-105.562156","NIWO_007","woody_veg"
"40.043059","-105.581501","NIWO_004","woody_veg"
"40.048377","-105.542505","NIWO_016","woody_veg"
"40.050779","-105.548151","NIWO_014","woody_veg"
"40.041511","-105.567423","NIWO_017","woody_veg"
"40.04011","-105.57266","NIWO_015","woody_veg"
"40.054475","-105.567875","NIWO_008","woody_veg"
"40.037194","-105.568794","NIWO_010","woody_veg"
"40.034769","-105.559629","NIWO_012","woody_veg"
"40.033987","-105.555402","NIWO_011","woody_veg"
"40.043662","-105.569891","NIWO_005","woody_veg"
"40.042344","-105.558975","NIWO_001","woody_veg"
"40.045049","-105.560411","NIWO_009","woody_veg"
"40.05114","-105.585787","NIWO_062","litter"
"40.048439","-105.585417","NIWO_051","litter"
"40.04979","-105.585046","NIWO_067","litter"
"40.047082","-105.585059","NIWO_057","litter"
"40.050349","-105.582965","NIWO_041","litter"
"40.048158","-105.586127","NIWO_046","litter"
"40.04898","-105.585058","NIWO_063","litter"
"40.04737","-105.583997","NIWO_064","litter"
"40.054657","-105.584399","NIWO_047","litter"
"40.047615","-105.586103","NIWO_061","litter"
"40.048719","-105.587181","NIWO_058","litter"
"40.046551","-105.584709","NIWO_040","litter"
"40.054269","-105.58238",NA,"ir_bio_temp"
"40.054269","-105.58238",NA,"ir_bio_temp"
"40.053445","-105.583015",NA,"ir_bio_temp"
"40.05399","-105.582122",NA,"precip"
"40.05399","-105.582122",NA,"rad_net"
"40.054269","-105.58238",NA,"rad_short_dir_diff"
"40.053445","-105.583015",NA,"rad_short_dir_diff"
"40.035","-105.531",NA,"forest_niwot"
"40.013","-105.56",NA,"forest_niwot"
"40.013","-105.56",NA,"forest_niwot"
"40.039","-105.562",NA,"forest_niwot"
"40.043","-105.577",NA,"forest_niwot"
"40.07456","-105.58167",NA,"forest_niwot"
"40.042","-105.569",NA,"forest_niwot"
"40.03743","-105.54543",NA,"forest_niwot"
"40.04188","-105.5489",NA,"forest_niwot"
"40.04137","-105.54902",NA,"forest_niwot"
"40.04655","-105.582942",NA,"forest_niwot"
"40.048795","-105.57805",NA,"forest_niwot"
"40.0463","-105.57134",NA,"forest_niwot"
"40.036","-105.531",NA,"forest_niwot"
"40.036","-105.531",NA,"forest_niwot"
"40.036","-105.531",NA,"forest_niwot"
"40.036","-105.531",NA,"forest_niwot"
"40.036","-105.531",NA,"forest_niwot"
"40.03882","-105.56285",NA,"forest_niwot"
"40.03882","-105.56285",NA,"forest_niwot"
"40.03887","-105.56301",NA,"forest_niwot"
"40.03887","-105.56316",NA,"forest_niwot"
"40.03878","-105.56316",NA,"forest_niwot"
"40.03872","-105.56332",NA,"forest_niwot"
"40.03879","-105.56368",NA,"forest_niwot"
"40.0387","-105.5639",NA,"forest_niwot"
"40.03901","-105.56418",NA,"forest_niwot"
"40.03913","-105.56432",NA,"forest_niwot"
"40.03972","-105.56503",NA,"forest_niwot"
"40.03946","-105.56467",NA,"forest_niwot"
"40.03971","-105.56504",NA,"forest_niwot"
"40.0397","-105.56544",NA,"forest_niwot"
"40.03981","-105.56558",NA,"forest_niwot"
"40.07561","-105.58154",NA,"forest_niwot"
"40.07556","-105.58163",NA,"forest_niwot"
"40.07527","-105.58205",NA,"forest_niwot"
"40.075","-105.582",NA,"forest_niwot"
"40.07478","-105.58224",NA,"forest_niwot"
"40.07465","-105.58222",NA,"forest_niwot"
"40.0746","-105.58223",NA,"forest_niwot"
"40.07437","-105.58213",NA,"forest_niwot"
"40.07434","-105.58226",NA,"forest_niwot"
"40.07422","-105.58259",NA,"forest_niwot"
